Index Name,Date,Open,High,Low,Close,open-close,low-high,is_quarter_end,SMA_10,SMA_50,target
NIFTY 50,1996-01-12,875.11,877.6,872.1,875.15,-0.03999999999996362,-5.5,0,882.979,895.023,0
NIFTY 50,1996-01-15,878.74,878.74,870.98,871.32,7.419999999999959,-7.759999999999991,0,879.3100000000001,892.4494,0
NIFTY 50,1996-01-16,871.29,871.29,866.64,868.52,2.769999999999982,-4.649999999999977,0,876.124,890.0414,0
NIFTY 50,1996-01-17,866.0,866.0,857.11,857.11,8.889999999999986,-8.889999999999986,0,872.2389999999999,887.6192,0
NIFTY 50,1996-01-18,853.28,853.28,841.79,848.83,4.449999999999932,-11.490000000000009,0,868.155,885.3156,0
NIFTY 50,1996-01-19,846.66,847.17,840.18,843.99,2.669999999999959,-6.990000000000009,0,864.0809999999999,883.1339999999999,1
NIFTY 50,1996-01-22,844.83,847.12,844.04,844.31,0.5200000000000955,-3.080000000000041,0,861.542,881.0438,0
NIFTY 50,1996-01-23,846.05,846.05,830.83,832.9,13.149999999999977,-15.219999999999914,0,857.9199999999998,879.3565999999998,0
NIFTY 50,1996-01-24,831.17,831.17,816.0,818.69,12.479999999999905,-15.169999999999959,0,853.409,877.6792,0
NIFTY 50,1996-01-25,819.56,819.56,814.34,814.92,4.639999999999986,-5.219999999999914,0,847.574,875.7134,1
NIFTY 50,1996-01-29,813.12,832.23,813.12,830.88,-17.75999999999999,-19.110000000000014,0,843.1470000000002,874.2494,1
NIFTY 50,1996-01-30,836.14,848.13,836.14,846.57,-10.430000000000064,-11.990000000000009,0,840.6719999999999,873.2036,1
NIFTY 50,1996-01-31,843.19,852.75,843.19,848.42,-5.2299999999999045,-9.559999999999945,0,838.662,872.3162,1
NIFTY 50,1996-02-01,848.28,869.54,848.28,869.54,-21.25999999999999,-21.25999999999999,0,839.905,872.1752,1
NIFTY 50,1996-02-02,878.5,919.82,878.5,918.31,-39.809999999999945,-41.32000000000005,0,846.8529999999998,873.253,1
NIFTY 50,1996-02-05,933.14,949.16,927.65,943.08,-9.940000000000055,-21.50999999999999,0,856.762,875.1246000000001,0
NIFTY 50,1996-02-06,943.75,947.89,919.99,925.71,18.039999999999964,-27.899999999999977,0,864.902,876.2166000000001,1
NIFTY 50,1996-02-07,918.97,932.02,913.22,932.02,-13.049999999999955,-18.799999999999955,0,874.814,877.632,1
NIFTY 50,1996-02-08,936.72,983.25,936.72,980.27,-43.549999999999955,-46.52999999999997,0,890.972,880.3638000000001,1
NIFTY 50,1996-02-09,1001.85,1033.02,980.27,1033.02,-31.16999999999996,-52.75,0,912.7819999999999,884.1217999999999,0
NIFTY 50,1996-02-12,1032.47,1045.81,1018.51,1018.51,13.960000000000036,-27.299999999999955,0,931.5449999999998,887.25,1
NIFTY 50,1996-02-13,1019.69,1030.3,1006.28,1027.36,-7.669999999999845,-24.019999999999982,0,949.624,890.3362,1
NIFTY 50,1996-02-14,1040.91,1067.49,1040.91,1051.99,-11.079999999999927,-26.579999999999927,0,969.981,894.102,0
NIFTY 50,1996-02-15,1048.14,1053.19,1042.36,1046.24,1.900000000000091,-10.830000000000155,0,987.6510000000001,897.6964000000002,0
NIFTY 50,1996-02-16,1040.84,1040.84,1020.46,1023.08,17.759999999999877,-20.37999999999988,0,998.128,900.5794000000001,0
NIFTY 50,1996-02-19,1027.2,1028.26,1019.93,1021.38,5.82000000000005,-8.330000000000041,0,1005.9580000000002,903.0346000000001,0
NIFTY 50,1996-02-20,1021.08,1021.08,999.93,1000.13,20.950000000000045,-21.15000000000009,0,1013.4,905.2948,1
NIFTY 50,1996-02-22,1006.84,1025.44,1006.84,1024.91,-18.07000000000005,-18.600000000000023,0,1022.689,908.2448,1
NIFTY 50,1996-02-23,1025.36,1029.64,1019.45,1028.84,-3.480000000000018,-10.190000000000055,0,1027.546,911.2317999999999,1
NIFTY 50,1996-02-26,1035.02,1045.15,1034.52,1034.73,0.2899999999999636,-10.63000000000011,0,1027.717,914.1412000000001,0
NIFTY 50,1996-02-27,1034.28,1034.28,1024.65,1027.45,6.829999999999927,-9.629999999999882,0,1028.611,917.0033999999999,0
NIFTY 50,1996-02-28,1034.49,1037.53,1027.39,1027.39,7.099999999999909,-10.139999999999873,0,1028.614,919.883,0
NIFTY 50,1996-02-29,1024.14,1024.14,992.48,992.51,31.63000000000011,-31.660000000000082,0,1022.6659999999999,922.0806,1
NIFTY 50,1996-03-01,994.66,1002.19,989.78,999.47,-4.810000000000059,-12.410000000000082,1,1017.9889999999999,924.3956000000002,0
NIFTY 50,1996-03-04,1000.58,1002.41,996.51,998.84,1.740000000000009,-5.899999999999977,1,1015.5649999999999,926.6618,1
NIFTY 50,1996-03-06,999.67,1003.72,997.86,1002.91,-3.240000000000009,-5.860000000000014,1,1013.7180000000001,928.71,0
NIFTY 50,1996-03-07,1005.06,1010.5,998.45,998.45,6.6099999999999,-12.049999999999955,1,1013.55,930.666,0
NIFTY 50,1996-03-08,993.93,993.93,981.6,988.62,5.309999999999945,-12.329999999999927,1,1009.921,932.3318,0
NIFTY 50,1996-03-11,981.16,981.16,966.28,975.26,5.899999999999977,-14.879999999999995,1,1004.5629999999999,933.387,1
NIFTY 50,1996-03-12,974.71,976.46,969.15,976.22,-1.509999999999991,-7.310000000000059,1,998.7120000000001,934.6203999999999,1
NIFTY 50,1996-03-13,973.75,992.54,972.77,992.14,-18.389999999999986,-19.769999999999982,1,995.1809999999999,936.2926,0
NIFTY 50,1996-03-14,993.72,1002.68,990.41,991.14,2.580000000000041,-12.269999999999982,1,991.5559999999999,937.9551999999999,0
NIFTY 50,1996-03-15,989.55,989.98,981.67,981.87,7.67999999999995,-8.31000000000006,1,990.492,939.585,0
NIFTY 50,1996-03-18,977.71,977.71,961.37,962.09,15.620000000000005,-16.340000000000032,1,986.7540000000001,940.9076,0
NIFTY 50,1996-03-19,961.12,964.08,945.07,947.09,14.029999999999973,-19.00999999999999,1,981.5790000000001,942.056,1
NIFTY 50,1996-03-21,957.88,967.75,957.88,965.57,-7.690000000000055,-9.870000000000005,1,977.845,943.6727999999999,0
NIFTY 50,1996-03-22,962.34,962.34,950.07,956.11,6.230000000000018,-12.269999999999982,1,973.6110000000001,945.4010000000001,0
NIFTY 50,1996-03-25,956.89,957.19,952.25,953.98,2.909999999999968,-4.940000000000055,1,970.1469999999999,947.0982,1
NIFTY 50,1996-03-26,952.87,958.58,949.28,957.14,-4.269999999999982,-9.300000000000068,1,968.335,948.965,1
NIFTY 50,1996-03-27,965.84,975.6,965.84,974.17,-8.329999999999927,-9.759999999999991,1,968.1299999999999,950.9830000000001,1
NIFTY 50,1996-03-28,976.91,997.32,976.91,997.32,-20.410000000000082,-20.410000000000082,1,968.6479999999999,953.4264,0
NIFTY 50,1996-03-29,998.16,998.16,985.3,985.3,12.860000000000014,-12.860000000000014,1,968.0640000000001,955.7059999999999,1
NIFTY 50,1996-04-01,988.33,995.01,988.33,994.8,-6.469999999999914,-6.67999999999995,0,969.357,958.2316000000001,1
NIFTY 50,1996-04-02,996.07,1005.68,996.07,1003.28,-7.209999999999923,-9.6099999999999,0,973.476,961.155,1
NIFTY 50,1996-04-03,1013.41,1019.09,1012.79,1013.47,-0.06000000000005912,-6.300000000000068,0,980.1139999999999,964.4478,0
NIFTY 50,1996-04-04,1012.29,1012.29,1000.9,1010.94,1.349999999999909,-11.389999999999986,0,984.6510000000001,967.7868000000001,1
NIFTY 50,1996-04-08,1024.4,1034.72,1024.4,1032.13,-7.730000000000018,-10.319999999999936,0,992.2529999999999,971.5432,0
